x_m,y_m,z_m,r,g,b
1.266462,-3.864793,6.895000,195,194,203
1.286202,-3.892258,6.944000,196,195,204
1.310577,-3.933177,7.017000,196,195,204
1.346522,-3.975216,7.092000,196,195,204
1.372230,-4.018375,7.169000,195,194,203
1.398561,-4.062657,7.248000,195,194,203
1.425332,-4.107499,7.328001,196,195,204
1.458231,-4.169156,7.438000,196,195,204
1.486333,-4.216239,7.522000,195,194,203
1.515293,-4.265005,7.609000,195,194,203
1.562985,-4.365338,7.788001,194,193,202
1.612849,-4.470156,7.975000,194,193,202
3.289428,-4.452219,7.943000,171,174,191
3.211928,-4.331146,7.727000,198,201,218
3.186746,-4.281260,7.638000,199,202,219
3.174271,-4.248750,7.580000,193,197,211
3.149847,-4.200545,7.494000,193,197,211
3.126001,-4.153461,7.410000,193,197,211
4.314113,-4.470156,7.975000,184,188,202
4.258092,-4.399530,7.849000,183,187,201
4.237045,-4.365338,7.788001,183,187,201
4.232177,-4.347962,7.757000,183,187,201
4.227760,-4.331146,7.727000,182,186,200
4.239711,-4.331146,7.727000,182,186,200
4.235155,-4.314331,7.697001,182,186,200
4.085829,-3.760536,6.709000,173,181,198
4.096206,-3.760536,6.709000,172,180,197
4.120661,-3.773428,6.732000,174,182,199
4.145186,-3.786320,6.755000,181,186,204
4.169784,-3.799212,6.778000,181,186,204
4.194452,-3.812104,6.801000,181,186,204
4.234030,-3.838449,6.848001,182,187,205
4.273754,-3.864793,6.895000,181,186,204
4.314866,-3.892258,6.944000,181,186,204
4.381932,-3.933177,7.017000,176,184,201
4.408435,-3.947190,7.042000,176,184,201
4.467022,-3.989789,7.118001,176,184,201
4.526473,-4.032949,7.195000,178,186,203
4.587423,-4.077230,7.274000,175,183,200
4.632812,-4.107499,7.328001,174,182,199
4.678370,-4.137767,7.382000,175,183,200
4.707575,-4.153461,7.410000,176,184,201
4.736867,-4.169156,7.438000,176,184,201
4.784122,-4.200545,7.494000,176,184,201
4.813631,-4.216239,7.522000,176,184,201
4.843867,-4.232495,7.551001,176,184,201
4.874194,-4.248750,7.580000,178,186,203
4.885918,-4.248750,7.580000,178,186,203
4.897642,-4.248750,7.580000,176,184,201
4.909365,-4.248750,7.580000,177,182,202
4.921089,-4.248750,7.580000,176,181,201
4.951684,-4.265005,7.609000,177,181,204
4.963453,-4.265005,7.609000,149,153,176
4.975221,-4.265005,7.609000,139,143,166
4.986990,-4.265005,7.609000,169,173,196
4.998758,-4.265005,7.609000,177,181,204
5.010527,-4.265005,7.609000,176,180,203
5.022295,-4.265005,7.609000,181,185,208
5.053250,-4.281260,7.638000,180,184,207
5.065063,-4.281260,7.638000,180,184,207
5.076877,-4.281260,7.638000,178,182,205
5.069369,-4.265005,7.609000,177,182,202
5.081138,-4.265005,7.609000,178,183,203
5.092906,-4.265005,7.609000,183,188,208
5.085219,-4.248750,7.580000,178,183,203
5.096943,-4.248750,7.580000,180,188,207
5.089121,-4.232495,7.551001,178,186,205
5.100800,-4.232495,7.551001,180,188,207
5.054929,-4.184851,7.466001,176,184,203
5.047475,-4.169156,7.438000,176,184,203
5.039935,-4.153461,7.410000,175,183,202
5.013902,-4.122633,7.355000,176,184,203
5.006830,-4.107499,7.328001,176,184,203
4.999674,-4.092364,7.301000,179,187,206
5.010966,-4.092364,7.301000,175,183,202
5.022258,-4.092364,7.301000,175,183,202
