x_m,y_m,z_m,r,g,b
-0.509846,-0.645045,1.147000,66,58,57
-0.507185,-0.643920,1.145000,106,98,97
-0.505413,-0.643920,1.145000,112,103,98
-0.513843,-0.643829,1.148000,53,56,59
-0.511621,-0.643268,1.147000,45,48,51
-0.509846,-0.643268,1.147000,52,43,46
-0.508071,-0.643268,1.147000,83,74,77
-0.506296,-0.643268,1.147000,114,104,102
2.344795,-3.604430,6.427001,205,210,215
2.362434,-3.616208,6.448000,210,215,220
2.372413,-3.616208,6.448000,204,209,214
2.971528,-3.977380,7.092000,203,208,215
2.993438,-3.991961,7.118001,202,207,214
3.025979,-4.020564,7.169000,202,207,214
3.048088,-4.035145,7.195000,202,207,214
3.081757,-4.064868,7.248000,205,210,217
3.104068,-4.079450,7.274000,202,207,214
3.126888,-4.094593,7.301000,197,202,209
3.149792,-4.109735,7.328001,196,201,208
3.172779,-4.124877,7.355000,198,203,208
3.184161,-4.124877,7.355000,191,196,201
3.207273,-4.140019,7.382000,204,210,212
3.230906,-4.155723,7.410000,188,194,196
3.254624,-4.171426,7.438000,182,188,190
3.290725,-4.202832,7.494000,181,187,189
3.327440,-4.234799,7.551001,183,186,189
3.377597,-4.283591,7.638000,184,187,190
3.415599,-4.316680,7.697001,188,191,194
3.481391,-4.384540,7.818000,191,194,197
3.535494,-4.437257,7.912000,194,197,200
4.208901,-4.437257,7.912000,162,169,177
4.204072,-4.419311,7.880001,155,162,168
4.167041,-4.367715,7.788001,181,188,194
4.162458,-4.350329,7.757000,195,197,205
4.158317,-4.333505,7.727000,192,194,202
4.137893,-4.299855,7.667000,192,197,204
4.134061,-4.283591,7.638000,189,194,201
4.145881,-4.283591,7.638000,189,194,201
4.126129,-4.251063,7.580000,188,193,200
4.137858,-4.251063,7.580000,186,191,198
4.133713,-4.234799,7.551001,189,194,201
4.145398,-4.234799,7.551001,189,194,203
4.157083,-4.234799,7.551001,184,189,198
4.168768,-4.234799,7.551001,188,195,203
4.196508,-4.251063,7.580000,187,194,202
4.208239,-4.251063,7.580000,188,195,203
4.219969,-4.251063,7.580000,187,194,202
6.450195,-4.454643,7.943000,177,183,194
6.437265,-4.437257,7.912000,175,181,192
6.423424,-4.419311,7.880001,177,183,194
6.384983,-4.384540,7.818000,176,182,193
6.372534,-4.367715,7.788001,175,181,192
1.207563,-0.797495,1.422000,173,182,192
1.208912,-0.796934,1.421000,173,182,192
1.211111,-0.796934,1.421000,170,176,187
1.213310,-0.796934,1.421000,170,176,187
1.213799,-0.795812,1.419000,170,176,187
1.215138,-0.795252,1.418000,170,176,187
1.218190,-0.795812,1.419000,173,179,192
1.219526,-0.795252,1.418000,173,179,192
1.220859,-0.794691,1.417000,171,177,190
1.222189,-0.794130,1.416000,171,177,190
-0.516518,-0.643168,1.150000,49,56,62
-0.514291,-0.642609,1.149000,51,56,61
-0.512513,-0.642609,1.149000,51,56,61
-0.510735,-0.642609,1.149000,48,44,49
-0.508957,-0.642609,1.149000,50,46,51
-0.506296,-0.641490,1.147000,86,78,75
-0.504521,-0.641490,1.147000,101,93,90
-0.502746,-0.641490,1.147000,107,96,89
1.387301,-3.924445,7.017000,207,207,203
2.230189,-3.994914,7.143000,204,210,210
2.249401,-4.009455,7.169000,205,211,213
2.276891,-4.038537,7.221000,206,212,214
2.296621,-4.053638,7.248000,206,212,214
2.316116,-4.068179,7.274000,206,212,214
2.327372,-4.068179,7.274000,205,211,213
2.347309,-4.083279,7.301000,204,210,212
2.367330,-4.098380,7.328001,204,210,212
2.378670,-4.098380,7.328001,209,215,217
2.398816,-4.113481,7.355000,209,215,217
2.419046,-4.128581,7.382000,207,213,215
2.430469,-4.128581,7.382000,209,215,217
2.451155,-4.144240,7.410000,209,215,217
2.471927,-4.159900,7.438000,206,214,215
2.502135,-4.191220,7.494000,205,213,214
2.324903,-3.594472,6.427001,204,209,214
2.334849,-3.594472,6.427001,204,209,214
2.344795,-3.594472,6.427001,206,211,216
2.354740,-3.594472,6.427001,210,215,220
2.372413,-3.606216,6.448000,205,210,215
2.382391,-3.606216,6.448000,210,215,220
2.392369,-3.606216,6.448000,205,210,215
2.918808,-3.910463,6.992000,209,208,217
2.950578,-3.938427,7.042000,209,211,219
2.971990,-3.952409,7.067000,211,213,221
3.004452,-3.980932,7.118001,202,207,212
3.037073,-4.009455,7.169000,193,198,203
3.070277,-4.038537,7.221000,193,198,203
3.104068,-4.068179,7.274000,196,201,206
3.126888,-4.083279,7.301000,193,198,203
3.149792,-4.098380,7.328001,185,190,195
3.161132,-4.098380,7.328001,183,188,193
3.184161,-4.113481,7.355000,179,184,189
3.207273,-4.128581,7.382000,179,184,189
3.230906,-4.144240,7.410000,179,184,189
3.254624,-4.159900,7.438000,183,188,193
3.278430,-4.175560,7.466001,186,191,196
3.314661,-4.206880,7.522000,198,200,206
3.351949,-4.239317,7.580000,205,207,213
3.402286,-4.287975,7.667000,193,195,201
3.454228,-4.338310,7.757000,188,190,196
3.521195,-4.407101,7.880001,199,201,207
3.575987,-4.460232,7.975000,200,202,208
4.127058,-4.442335,7.943000,192,199,203
4.142937,-4.355647,7.788001,179,183,195
4.138450,-4.338310,7.757000,160,165,174
4.150454,-4.338310,7.757000,164,169,178
4.146360,-4.321531,7.727000,195,197,205
4.142172,-4.304753,7.697001,200,202,210
4.122241,-4.271756,7.638000,193,195,203
4.134061,-4.271756,7.638000,190,192,200
4.130139,-4.255537,7.609000,191,193,201
4.126129,-4.239317,7.580000,190,192,200
4.122028,-4.223099,7.551001,188,190,198
4.133713,-4.223099,7.551001,188,190,198
4.145398,-4.223099,7.551001,186,191,200
4.157083,-4.223099,7.551001,183,188,197
4.168768,-4.223099,7.551001,188,193,202
4.180453,-4.223099,7.551001,189,194,203
4.192139,-4.223099,7.551001,188,193,202
6.437904,-4.442335,7.943000,181,187,198
6.399035,-4.407101,7.880001,178,184,195
6.386008,-4.389763,7.849000,174,180,191
6.372885,-4.372426,7.818000,173,179,190
6.335164,-4.338310,7.757000,173,179,190
1.207057,-0.796410,1.424000,173,182,192
1.209261,-0.796410,1.424000,173,182,192
1.210614,-0.795851,1.423000,175,184,194
1.211964,-0.795291,1.422000,175,181,192
1.215018,-0.795851,1.423000,176,182,193
1.216365,-0.795291,1.422000,176,182,193
1.218565,-0.795291,1.422000,174,180,191
1.220766,-0.795291,1.422000,176,182,193
1.222966,-0.795291,1.422000,178,184,195
1.224305,-0.794732,1.421000,176,182,193
1.223915,-0.793054,1.418000,174,180,191
1.226109,-0.793054,1.418000,178,184,195
1.227437,-0.792495,1.417000,171,177,188
-0.516967,-0.641944,1.151000,48,55,61
-0.514738,-0.641386,1.150000,48,55,61
-0.512959,-0.641386,1.150000,48,55,61
-0.511179,-0.641386,1.150000,46,44,51
-0.509400,-0.641386,1.150000,45,43,50
-0.507179,-0.640829,1.149000,63,54,57
-0.505400,-0.640829,1.149000,92,83,86
-0.503184,-0.640271,1.148000,109,100,95
-0.500971,-0.639713,1.147000,112,103,98
-0.499631,-0.640271,1.148000,100,89,80
-0.497855,-0.640271,1.148000,102,91,82
-0.260412,-0.452875,0.812000,60,52,49
-0.258836,-0.452317,0.811000,58,50,47
-0.257581,-0.452317,0.811000,58,50,47
-0.256010,-0.451759,0.810000,56,48,45
1.333008,-3.913572,7.017000,205,204,204
1.343866,-3.913572,7.017000,204,203,203
1.354725,-3.913572,7.017000,205,204,204
1.365584,-3.913572,7.017000,202,201,201
1.381347,-3.927515,7.042000,204,203,203
1.392244,-3.927515,7.042000,205,204,204
1.398160,-3.913572,7.017000,207,206,206
1.403999,-3.899629,6.992000,207,206,206
1.405106,-3.872858,6.944000,205,204,204
1.396278,-3.819316,6.848001,207,206,206
1.387769,-3.767447,6.755000,208,207,207
1.374833,-3.704424,6.642000,208,207,207
1.366760,-3.655344,6.554000,207,207,207
1.359045,-3.607938,6.469000,203,203,203
1.360167,-3.584513,6.427001,208,208,208
1.361159,-3.561088,6.385000,207,207,207
1.362450,-3.538779,6.345000,205,208,207
1.372269,-3.538779,6.345000,204,207,206
1.382088,-3.538779,6.345000,201,204,203
1.387300,-3.527067,6.324000,201,204,203
1.401726,-3.538779,6.345000,207,210,209
1.406873,-3.527067,6.324000,204,207,206
1.403443,-3.494161,6.265000,201,204,203
1.399829,-3.461255,6.206000,202,205,204
1.400576,-3.439504,6.167000,202,205,204
1.405775,-3.428907,6.148000,204,207,206
1.406541,-3.407713,6.110000,204,207,206
2.224156,-4.012847,7.195000,208,211,212
2.243368,-4.027349,7.221000,205,211,213
2.254542,-4.027349,7.221000,205,211,213
2.265717,-4.027349,7.221000,205,211,213
2.285405,-4.042407,7.248000,206,212,214
