x_m,y_m,z_m,r,g,b
-0.161255,-0.298622,0.531000,48,47,47
-0.160433,-0.298622,0.531000,49,48,48
-0.159612,-0.298622,0.531000,48,47,47
-0.158790,-0.298622,0.531000,48,47,47
-0.157968,-0.298622,0.531000,47,46,46
-0.157146,-0.298622,0.531000,45,44,44
-0.161772,-0.297238,0.530000,51,50,50
-0.160951,-0.297238,0.530000,49,48,48
-0.160433,-0.297799,0.531000,49,48,48
-0.159311,-0.297238,0.530000,48,47,47
-0.158491,-0.297238,0.530000,49,48,48
-0.066862,-0.280974,0.501000,93,77,82
-0.066087,-0.280974,0.501000,95,79,84
-0.065312,-0.280974,0.501000,95,79,84
-0.064536,-0.280974,0.501000,95,82,86
-0.063761,-0.280974,0.501000,95,82,86
-0.062860,-0.280413,0.500000,93,80,84
-0.062086,-0.280413,0.500000,91,78,82
-0.061313,-0.280413,0.500000,86,77,82
-0.060539,-0.280413,0.500000,89,80,85
2.116890,-3.840539,6.848001,199,204,220
2.127487,-3.840539,6.848001,199,204,220
2.145265,-3.853437,6.871000,201,206,222
2.148681,-3.840539,6.848001,201,206,222
2.151711,-3.827079,6.824000,201,206,222
2.162271,-3.827079,6.824000,202,207,223
2.005469,-3.191101,5.690000,197,205,220
2.073747,-3.285320,5.858000,196,204,219
2.133300,-3.364958,6.000000,199,207,222
2.209005,-3.469271,6.186000,200,208,223
2.299829,-3.580876,6.385000,196,204,221
2.355289,-3.651540,6.511000,197,205,222
2.447678,-3.762583,6.709000,197,205,222
2.491767,-3.814179,6.801000,196,204,221
2.502292,-3.814179,6.801000,197,205,222
2.512816,-3.814179,6.801000,200,208,225
2.514807,-3.801280,6.778000,199,207,224
2.516727,-3.788381,6.755000,199,207,224
2.518576,-3.775482,6.732000,199,207,224
2.503448,-3.737346,6.664001,197,205,222
2.497163,-3.712670,6.620000,195,203,220
2.507407,-3.712670,6.620000,194,202,219
2.500918,-3.687994,6.576000,195,203,220
2.486274,-3.651540,6.511000,196,204,223
2.464143,-3.604430,6.427001,199,207,226
2.450222,-3.569659,6.365000,195,203,222
2.444225,-3.546665,6.324000,197,205,224
2.438490,-3.524232,6.284000,200,208,227
2.433020,-3.502360,6.245000,197,205,224
2.427429,-3.480488,6.206000,194,202,221
2.429179,-3.469271,6.186000,194,202,221
2.431262,-3.458616,6.167000,194,202,221
2.440805,-3.458616,6.167000,194,202,221
2.450348,-3.458616,6.167000,196,204,223
2.791069,-3.749684,6.686000,203,208,226
2.811052,-3.762583,6.709000,195,200,216
2.851233,-3.788381,6.755000,192,197,213
2.871430,-3.801280,6.778000,194,199,215
2.901477,-3.827079,6.824000,194,199,215
2.922279,-3.840539,6.848001,194,199,215
2.942727,-3.853437,6.871000,192,200,217
2.963676,-3.866897,6.895000,186,194,211
2.984699,-3.880357,6.919000,188,196,213
3.006229,-3.894377,6.944000,193,201,218
3.027402,-3.907837,6.968000,189,197,214
3.048649,-3.921297,6.992000,183,191,208
3.070409,-3.935318,7.017000,176,184,199
3.103223,-3.963359,7.067000,174,182,197
3.114159,-3.963359,7.067000,172,180,195
3.125095,-3.963359,7.067000,172,180,195
3.978154,-4.218535,7.522000,189,192,211
4.005177,-4.234799,7.551001,192,192,214
4.016862,-4.234799,7.551001,156,156,178
4.044018,-4.251063,7.580000,148,151,170
4.055748,-4.251063,7.580000,170,173,192
4.083040,-4.267327,7.609000,190,193,212
4.094815,-4.267327,7.609000,182,185,204
4.106590,-4.267327,7.609000,181,186,204
4.102668,-4.251063,7.580000,181,186,204
4.098658,-4.234799,7.551001,182,187,205
4.094557,-4.218535,7.522000,183,188,206
4.090912,-4.202832,7.494000,188,193,211
4.087181,-4.187129,7.466001,187,192,210
4.083362,-4.171426,7.438000,185,188,207
4.079458,-4.155723,7.410000,184,187,206
4.075467,-4.140019,7.382000,183,186,205
4.071942,-4.124877,7.355000,183,186,205
4.068334,-4.109735,7.328001,182,185,204
4.049611,-4.079450,7.274000,183,186,205
4.046352,-4.064868,7.248000,179,182,201
4.042453,-4.049726,7.221000,181,184,203
4.024436,-4.020564,7.169000,180,185,203
4.006822,-3.991961,7.118001,182,187,205
4.003161,-3.977380,7.092000,181,189,208
3.985836,-3.949339,7.042000,180,188,207
5.216195,-4.419311,7.880001,178,186,203
5.228388,-4.419311,7.880001,176,184,201
5.261864,-4.437257,7.912000,178,186,203
5.274107,-4.437257,7.912000,180,188,205
5.286352,-4.437257,7.912000,178,186,203
5.298595,-4.437257,7.912000,176,184,203
5.310839,-4.437257,7.912000,178,186,205
5.323083,-4.437257,7.912000,176,184,203
5.569233,-4.079450,7.274000,161,168,190
5.601203,-4.094593,7.301000,168,175,197
5.654013,-4.124877,7.355000,168,175,197
5.707760,-4.155723,7.410000,167,174,196
5.762450,-4.187129,7.466001,176,183,207
5.795658,-4.202832,7.494000,140,147,171
5.873898,-4.251063,7.580000,133,140,164
5.930663,-4.283591,7.638000,140,147,171
5.988386,-4.316680,7.697001,175,182,204
6.047070,-4.350329,7.757000,176,183,205
6.106722,-4.384540,7.818000,167,174,196
6.143083,-4.401926,7.849000,169,176,198
6.204634,-4.437257,7.912000,171,175,198
6.241236,-4.454643,7.943000,171,175,198
6.278721,-4.472589,7.975000,173,177,200
6.291062,-4.472589,7.975000,174,178,201
6.303404,-4.472589,7.975000,171,178,200
6.315745,-4.472589,7.975000,174,181,203
6.302695,-4.454643,7.943000,174,181,203
6.290340,-4.437257,7.912000,169,176,198
6.252399,-4.401926,7.849000,173,180,202
6.239803,-4.384540,7.818000,168,175,197
6.179130,-4.333505,7.727000,168,175,197
6.073308,-4.251063,7.580000,171,178,200
6.038476,-4.218535,7.522000,174,181,203
6.005075,-4.187129,7.466001,171,178,200
5.994064,-4.171426,7.438000,172,179,201
5.982966,-4.155723,7.410000,171,178,200
5.971782,-4.140019,7.382000,171,178,200
5.961322,-4.124877,7.355000,168,175,197
5.972704,-4.124877,7.355000,171,178,200
-0.161772,-0.296417,0.530000,49,48,48
-0.160951,-0.296417,0.530000,48,47,47
-0.160131,-0.296417,0.530000,48,47,47
-0.159311,-0.296417,0.530000,47,46,46
-0.158491,-0.296417,0.530000,48,47,47
-0.157671,-0.296417,0.530000,48,47,47
-0.156851,-0.296417,0.530000,48,47,47
-0.156030,-0.296417,0.530000,49,48,48
-0.155210,-0.296417,0.530000,49,45,46
-0.067638,-0.280198,0.501000,92,76,81
-0.066862,-0.280198,0.501000,91,75,80
-0.066087,-0.280198,0.501000,93,77,82
-0.065312,-0.280198,0.501000,94,78,83
-0.064408,-0.279638,0.500000,92,79,83
-0.063634,-0.279638,0.500000,91,78,82
-0.062860,-0.279638,0.500000,91,78,82
-0.062086,-0.279638,0.500000,92,79,83
-0.061313,-0.279638,0.500000,87,76,82
-0.060539,-0.279638,0.500000,86,75,81
-0.059646,-0.279079,0.499000,83,71,82
-0.058873,-0.279079,0.499000,74,62,73
0.160971,-2.022904,3.617000,198,194,197
0.166568,-2.022904,3.617000,198,194,197
0.172499,-2.026819,3.624000,185,181,184
0.178746,-2.034089,3.637000,178,174,177
0.185033,-2.041360,3.650000,176,172,175
0.191413,-2.049190,3.664000,174,170,173
0.197836,-2.057020,3.678000,177,173,178
0.204247,-2.064291,3.691000,190,186,191
0.210357,-2.068205,3.698000,192,188,193
1.830028,-3.449059,6.167000,204,207,224
1.880438,-3.525681,6.304000,204,207,224
1.927074,-3.594472,6.427001,197,200,217
1.962336,-3.641451,6.511000,197,201,215
2.005432,-3.702412,6.620000,202,206,220
2.042775,-3.752187,6.709000,198,202,216
2.074273,-3.790778,6.778000,197,201,215
2.106293,-3.829927,6.848001,199,203,217
2.124000,-3.842790,6.871000,202,206,220
2.134632,-3.842790,6.871000,201,207,220
2.152759,-3.856213,6.895000,201,207,220
2.163429,-3.856213,6.895000,199,205,218
2.166531,-3.842790,6.871000,199,205,218
2.169876,-3.829927,6.848001,201,207,220
2.172831,-3.816504,6.824000,201,207,220
2.176032,-3.803641,6.801000,202,208,221
2.179162,-3.790778,6.778000,202,208,221
2.167361,-3.752187,6.709000,201,207,220
2.155994,-3.714716,6.642000,203,209,222
2.144747,-3.677804,6.576000,203,209,222
2.140505,-3.653196,6.532001,203,209,222
2.136785,-3.629706,6.490000,202,208,221
2.125988,-3.594472,6.427001,201,207,220
2.108682,-3.548611,6.345000,200,209,221
1.991049,-3.173336,5.674000,199,207,222
2.040715,-3.238212,5.790000,199,207,222
2.104899,-3.325459,5.946000,199,207,222
2.172411,-3.417181,6.110000,200,208,223
2.253725,-3.514495,6.284000,195,203,218
2.322521,-3.606216,6.448000,197,205,220
2.378802,-3.677804,6.576000,199,207,222
2.420948,-3.727020,6.664001,197,205,220
2.464460,-3.777914,6.755000,197,205,220
2.491767,-3.803641,6.801000,197,205,220
2.510754,-3.816504,6.824000,200,208,223
2.512816,-3.803641,6.801000,200,208,223
2.514807,-3.790778,6.778000,199,207,222
2.508158,-3.765051,6.732000,196,206,222
2.509971,-3.752187,6.709000,198,208,224
2.511713,-3.739324,6.686000,196,206,222
2.505461,-3.714716,6.642000,199,209,225
2.499074,-3.690108,6.598001,195,205,221
2.492551,-3.665500,6.554000,194,204,220
2.494293,-3.653196,6.532001,195,205,223
2.488298,-3.629706,6.490000,198,208,226
2.457921,-3.570982,6.385000,198,208,226
2.452342,-3.548611,6.345000,198,208,226
2.446251,-3.525681,6.304000,196,206,224
2.440812,-3.503869,6.265000,196,206,224
2.434861,-3.481498,6.225000,196,204,223
2.437033,-3.470871,6.206000,195,203,222
2.438752,-3.459686,6.186000,195,203,222
2.440805,-3.449059,6.167000,194,202,221
2.457898,-3.459686,6.186000,197,205,224
2.733913,-3.690108,6.598001,161,169,188
2.771573,-3.727020,6.664001,184,187,206
2.820689,-3.765051,6.732000,199,204,220
2.850452,-3.790778,6.778000,194,199,215
2.870649,-3.803641,6.801000,192,197,213
2.890917,-3.816504,6.824000,194,199,215
2.921461,-3.842790,6.871000,192,197,213
2.942336,-3.856213,6.895000,191,196,212
2.963284,-3.869636,6.919000,188,193,209
2.984737,-3.883618,6.944000,181,186,202
2.995483,-3.883618,6.944000,177,182,198
3.016619,-3.897040,6.968000,173,178,194
3.048691,-3.924445,7.017000,173,178,194
3.070450,-3.938427,7.042000,174,179,195
3.092287,-3.952409,7.067000,176,181,197
3.114201,-3.966391,7.092000,180,185,201
3.136633,-3.980932,7.118001,183,191,206
3.158703,-3.994914,7.143000,190,198,213
3.181295,-4.009455,7.169000,189,197,212
3.203966,-4.023996,7.195000,187,195,210
3.974943,-4.191220,7.494000,193,193,215
4.016862,-4.223099,7.551001,176,176,198
4.044018,-4.239317,7.580000,151,154,173
4.055748,-4.239317,7.580000,157,160,179
4.067479,-4.239317,7.580000,189,192,211
4.094815,-4.255537,7.609000,183,186,205
4.090939,-4.239317,7.580000,183,186,205
4.102668,-4.239317,7.580000,186,189,208
4.098658,-4.223099,7.551001,185,188,207
4.094557,-4.206880,7.522000,185,188,207
4.090912,-4.191220,7.494000,185,188,207
4.087181,-4.175560,7.466001,186,189,208
4.083362,-4.159900,7.438000,185,188,207
4.079458,-4.144240,7.410000,185,188,207
4.075467,-4.128581,7.382000,184,187,206
4.071942,-4.113481,7.355000,183,186,205
4.068334,-4.098380,7.328001,184,187,206
4.064642,-4.083279,7.301000,184,187,206
4.060867,-4.068179,7.274000,180,185,203
4.042453,-4.038537,7.221000,178,183,201
4.024436,-4.009455,7.169000,178,186,203
4.020895,-3.994914,7.143000,178,186,203
4.017838,-3.980932,7.118001,180,188,205
3.999986,-3.952409,7.067000,181,189,206
3.996733,-3.938427,7.042000,181,189,206
5.171381,-4.389763,7.849000,178,186,205
5.183527,-4.389763,7.849000,178,186,203
5.216195,-4.407101,7.880001,176,184,201
5.228388,-4.407101,7.880001,178,186,203
5.240583,-4.407101,7.880001,178,186,203
5.252777,-4.407101,7.880001,179,187,204
5.264971,-4.407101,7.880001,180,188,205
5.277166,-4.407101,7.880001,179,187,206
5.289360,-4.407101,7.880001,178,186,205
5.301554,-4.407101,7.880001,178,186,205
5.313748,-4.407101,7.880001,176,184,203
5.538110,-4.053638,7.248000,167,174,196
5.569233,-4.068179,7.274000,169,176,198
5.601203,-4.083279,7.301000,172,179,201
5.654013,-4.113481,7.355000,171,178,200
5.686193,-4.128581,7.382000,169,176,198
5.762450,-4.175560,7.466001,175,182,206
5.817312,-4.206880,7.522000,143,150,174
5.873898,-4.239317,7.580000,132,139,163
5.953180,-4.287975,7.667000,145,152,176
6.011726,-4.321531,7.727000,178,185,207
6.071237,-4.355647,7.788001,175,182,204
6.130937,-4.389763,7.849000,173,180,202
6.167346,-4.407101,7.880001,173,180,202
6.228944,-4.442335,7.943000,172,179,201
6.241236,-4.442335,7.943000,172,179,201
6.278721,-4.460232,7.975000,173,180,202
6.291062,-4.460232,7.975000,174,181,203
6.328086,-4.460232,7.975000,174,181,203
6.290340,-4.424997,7.912000,169,176,198
6.277093,-4.407101,7.880001,169,176,198
6.264545,-4.389763,7.849000,169,176,198
6.227911,-4.355647,7.788001,167,176,197
6.096543,-4.255537,7.609000,166,175,196
6.061758,-4.223099,7.551001,167,176,197
6.027596,-4.191220,7.494000,168,177,198
5.994064,-4.159900,7.438000,169,176,198
5.982966,-4.144240,7.410000,169,176,198
5.971782,-4.128581,7.382000,172,179,201
5.961322,-4.113481,7.355000,171,178,200
5.972704,-4.113481,7.355000,171,180,201
5.984086,-4.113481,7.355000,167,176,197
-0.161772,-0.295595,0.530000,49,48,48
-0.160951,-0.295595,0.530000,48,47,47
-0.160131,-0.295595,0.530000,47,46,46
-0.159311,-0.295595,0.530000,47,46,46
-0.158491,-0.295595,0.530000,47,46,46
-0.157671,-0.295595,0.530000,49,48,48
-0.156851,-0.295595,0.530000,51,50,50
-0.156030,-0.295595,0.530000,51,50,50
-0.155210,-0.295595,0.530000,48,44,45
-0.067638,-0.279421,0.501000,91,75,80
-0.066862,-0.279421,0.501000,90,74,79
-0.066087,-0.279421,0.501000,90,74,79
-0.065312,-0.279421,0.501000,92,76,81
-0.064536,-0.279421,0.501000,90,77,81
-0.063634,-0.278864,0.500000,89,76,80
-0.062860,-0.278864,0.500000,89,76,80
-0.062086,-0.278864,0.500000,90,77,81
-0.061190,-0.278306,0.499000,87,76,82
-0.060418,-0.278306,0.499000,84,73,79
-0.059646,-0.278306,0.499000,81,72,79
-0.058873,-0.278306,0.499000,72,63,70
0.160704,-2.013953,3.611000,193,189,192
0.166292,-2.013953,3.611000,198,194,197
0.172499,-2.021204,3.624000,195,191,194
0.179090,-2.032358,3.644000,189,185,188
0.185388,-2.039608,3.657000,188,184,187
0.191413,-2.043513,3.664000,178,174,177
0.198159,-2.054667,3.684000,175,171,174
0.204247,-2.058571,3.691000,177,173,176
0.210755,-2.066380,3.705000,182,178,181
0.217307,-2.074188,3.719000,192,188,191
1.364378,-3.941458,7.067000,197,199,207
1.380180,-3.955402,7.092000,197,199,207
1.396255,-3.969903,7.118001,197,199,207
1.412212,-3.983845,7.143000,198,200,208
1.423266,-3.983845,7.143000,198,200,208
1.434320,-3.983845,7.143000,198,200,208
1.445374,-3.983845,7.143000,198,200,208
1.456427,-3.983845,7.143000,198,200,208
1.462345,-3.969903,7.118001,198,200,208
1.467978,-3.955402,7.092000,199,201,209
1.787128,-3.376481,6.054000,174,178,192
1.830028,-3.439504,6.167000,184,188,202
1.886404,-3.527067,6.324000,203,207,221
1.933370,-3.596225,6.448000,204,208,222
1.968665,-3.643075,6.532001,197,201,215
2.012096,-3.704424,6.642000,196,200,214
2.049778,-3.754620,6.732000,196,200,214
2.081312,-3.793103,6.801000,197,201,215
2.106293,-3.819316,6.848001,198,202,216
2.131419,-3.845529,6.895000,199,203,217
2.142089,-3.845529,6.895000,200,204,218
2.160252,-3.858915,6.919000,200,204,218
2.170959,-3.858915,6.919000,203,207,221
2.181666,-3.858915,6.919000,202,206,220
2.184768,-3.845529,6.895000,199,205,218
2.187797,-3.832144,6.871000,201,207,220
2.191070,-3.819316,6.848001,203,209,222
2.186557,-3.793103,6.801000,202,208,221
2.182221,-3.767447,6.755000,201,207,220
