timestamp,manual_distance_cm,realsense_mean_cm,realsense_median_cm,std_cm,min_cm,max_cm,valid_pixel_count,total_pixel_count,temporal_frames,temporal_std_cm,depth_fill_rate,depth_stdev_meta,roi_half_px,depth_scale,notes
2026-09-21T15:07:02,120.00,126.8803,126.8803,0.2124,126.0000,127.5000,435,441,152,0.2124,-1.0000,-1.0000,10,0.0010000000,
2026-09-21T15:08:58,110.00,114.7513,114.7513,0.1653,114.3000,115.1000,430,441,151,0.1653,-1.0000,-1.0000,10,0.0010000000,
2026-09-21T15:09:56,115.00,119.0633,119.0633,0.1993,118.5000,119.5000,441,441,151,0.1993,-1.0000,-1.0000,10,0.0010000000,
2026-09-21T15:11:16,100.00,102.2454,102.2454,0.1815,101.8000,102.8000,441,441,151,0.1815,-1.0000,-1.0000,10,0.0010000000,
