x_m,y_m,z_m,r,g,b
-0.587313,-0.489487,0.868000,64,53,46
-0.585969,-0.489487,0.868000,66,55,48
-0.585300,-0.490051,0.869000,66,55,48
-0.583955,-0.490051,0.869000,66,55,48
-0.451670,-1.014502,1.799000,63,70,64
-0.448387,-1.013374,1.797000,64,71,65
-0.444366,-1.010554,1.792000,63,70,64
-0.440361,-1.007735,1.787000,67,73,71
-0.436126,-1.004351,1.781000,48,54,52
-0.431180,-0.999276,1.772000,41,47,45
-0.587978,-0.487580,0.867000,66,55,48
-0.587313,-0.488142,0.868000,67,56,49
-0.585969,-0.488142,0.868000,67,56,49
-0.583281,-0.489267,0.870000,64,53,46
-0.581934,-0.489267,0.870000,63,52,45
-0.467660,-1.016213,1.807000,67,74,68
-0.457238,-1.011714,1.799000,63,70,64
-0.453948,-1.010589,1.797000,63,70,64
-0.450916,-1.010027,1.796000,62,69,63
-0.447139,-1.007777,1.792000,63,70,64
-0.443126,-1.004965,1.787000,64,71,65
-0.439621,-1.003278,1.784000,67,74,68
-0.435392,-0.999904,1.778000,44,51,45
0.742621,-1.973376,3.509000,131,139,140
0.746559,-1.969440,3.502000,131,139,140
0.750690,-1.966066,3.496000,131,139,140
0.754802,-1.962691,3.490000,131,139,140
0.758896,-1.959317,3.484000,132,140,141
0.762971,-1.955943,3.478000,132,140,141
0.767028,-1.952569,3.472000,133,141,142
0.772401,-1.952569,3.472000,133,141,142
0.777774,-1.952569,3.472000,130,138,139
0.783147,-1.952569,3.472000,130,138,139
0.791245,-1.959317,3.484000,131,139,140
0.798008,-1.962691,3.490000,134,142,143
0.806171,-1.969440,3.502000,132,140,141
0.813213,-1.973376,3.509000,130,138,139
0.821443,-1.980125,3.521000,131,139,140
0.829944,-1.987436,3.534000,131,139,140
0.835413,-1.987436,3.534000,131,139,140
0.842310,-1.990810,3.540000,131,139,140
0.849225,-1.994184,3.546000,132,140,141
0.853266,-1.990810,3.540000,133,141,142
0.857289,-1.987436,3.534000,130,138,139
0.861049,-1.983499,3.527000,127,135,136
0.865032,-1.980125,3.521000,132,140,141
0.865784,-1.969440,3.502000,131,139,140
0.869711,-1.966066,3.496000,129,135,137
0.872117,-1.959317,3.484000,132,138,140
0.871463,-1.945820,3.460000,129,135,137
0.870736,-1.932323,3.436000,131,137,139
0.859735,-1.896331,3.372000,131,137,139
0.859054,-1.883396,3.349000,131,137,139
0.858301,-1.870462,3.326000,131,137,139
0.854881,-1.851903,3.293000,132,138,140
0.855798,-1.842905,3.277000,131,137,139
0.856666,-1.833907,3.261000,132,138,140
0.860391,-1.831095,3.256000,132,138,140
0.865430,-1.831095,3.256000,131,137,139
0.871805,-1.833907,3.261000,129,135,137
0.879810,-1.840093,3.272000,132,138,140
0.887577,-1.845717,3.282000,131,137,139
0.897280,-1.855278,3.299000,131,137,139
0.906762,-1.864276,3.315000,129,135,137
0.916568,-1.873836,3.332000,127,133,135
0.924767,-1.880022,3.343000,127,133,135
0.934669,-1.889583,3.360000,128,134,136
0.941547,-1.892957,3.366000,128,134,134
0.951538,-1.902517,3.383000,129,135,135
0.960167,-1.909266,3.395000,128,134,134
0.968548,-1.915452,3.406000,126,132,132
0.977250,-1.922200,3.418000,126,132,132
0.993031,-1.932323,3.436000,127,133,133
1.001835,-1.939072,3.448000,127,133,133
1.010676,-1.945820,3.460000,127,133,133
1.021316,-1.955943,3.478000,128,134,134
1.030240,-1.962691,3.490000,128,134,134
1.037422,-1.966066,3.496000,128,134,134
1.044621,-1.969440,3.502000,128,134,132
1.052140,-1.973376,3.509000,127,133,131
1.059378,-1.976751,3.515000,125,131,129
1.064818,-1.976751,3.515000,124,130,128
1.070257,-1.976751,3.515000,126,132,130
1.073860,-1.973376,3.509000,127,133,131
1.079290,-1.973376,3.509000,126,132,130
1.082557,-1.969440,3.502000,126,132,130
1.087976,-1.969440,3.502000,127,133,131
1.093395,-1.969440,3.502000,127,133,131
1.096932,-1.966066,3.496000,127,133,131
1.102342,-1.966066,3.496000,126,132,130
1.105851,-1.962691,3.490000,126,132,130
1.111252,-1.962691,3.490000,122,128,126
1.114733,-1.959317,3.484000,125,131,129
1.116266,-1.952569,3.472000,124,130,128
1.117762,-1.945820,3.460000,127,130,129
1.119221,-1.939072,3.448000,123,126,125
1.122600,-1.935697,3.442000,124,127,126
1.123994,-1.928949,3.430000,124,127,126
1.125351,-1.922200,3.418000,124,127,126
1.126671,-1.915452,3.406000,124,127,126
