x_m,y_m,z_m,r,g,b
1.912191,-3.720902,6.620000,171,179,180
1.913400,-3.683805,6.554000,181,188,194
1.917080,-3.671440,6.532001,203,210,216
1.914791,-3.647833,6.490000,205,212,216
1.918601,-3.636029,6.469000,208,215,219
1.928606,-3.636029,6.469000,209,217,218
1.957491,-3.671440,6.532001,210,218,219
1.994101,-3.720902,6.620000,211,217,219
2.031287,-3.770926,6.709000,206,212,214
2.069660,-3.822636,6.801000,204,210,212
2.108930,-3.875471,6.895000,203,209,211
2.149413,-3.929991,6.992000,205,208,211
2.191123,-3.986199,7.092000,207,210,213
2.242147,-4.058705,7.221000,205,211,213
2.286705,-4.118847,7.328001,205,211,213
2.306506,-4.134023,7.355000,204,209,214
2.317881,-4.134023,7.355000,204,209,214
2.337808,-4.149199,7.382000,205,210,215
2.781693,-4.343113,7.727000,209,214,221
2.771951,-4.309389,7.667000,209,214,221
2.773280,-4.293089,7.638000,204,209,216
2.774518,-4.276789,7.609000,203,208,215
2.775668,-4.260489,7.580000,204,209,216
2.776727,-4.244189,7.551001,204,209,216
2.777697,-4.227889,7.522000,203,208,215
2.768565,-4.196413,7.466001,205,210,217
2.769686,-4.180675,7.438000,206,211,218
2.781190,-4.180675,7.438000,207,212,219
2.771668,-4.149199,7.382000,205,210,217
2.783085,-4.149199,7.382000,203,208,215
2.794503,-4.149199,7.382000,205,210,217
2.795657,-4.134023,7.355000,206,211,218
2.807033,-4.134023,7.355000,203,208,215
2.818408,-4.134023,7.355000,204,209,216
2.829784,-4.134023,7.355000,204,209,216
2.830730,-4.118847,7.328001,205,210,217
2.842064,-4.118847,7.328001,204,209,216
2.853398,-4.118847,7.328001,202,207,214
2.854176,-4.103671,7.301000,202,207,214
2.854872,-4.088495,7.274000,202,207,214
2.794410,-3.986199,7.092000,202,207,214
2.746834,-3.903012,6.944000,202,207,214
2.709920,-3.835564,6.824000,203,208,215
2.683798,-3.783854,6.732000,203,208,215
2.658191,-3.733267,6.642000,202,207,214
2.641948,-3.696171,6.576000,203,208,215
2.634373,-3.671440,6.532001,202,209,217
2.635974,-3.659636,6.511000,206,213,221
2.637510,-3.647833,6.490000,208,214,225
2.638981,-3.636029,6.469000,191,197,208
2.648986,-3.636029,6.469000,166,172,183
2.658992,-3.636029,6.469000,163,169,180
2.677661,-3.647833,6.490000,168,174,185
2.696395,-3.659636,6.511000,194,200,211
2.715195,-3.671440,6.532001,206,210,222
2.743655,-3.696171,6.576000,200,204,216
2.781465,-3.733267,6.642000,199,204,211
2.810232,-3.757998,6.686000,198,203,210
2.839978,-3.783854,6.732000,201,208,214
2.879606,-3.822636,6.801000,202,209,215
2.910097,-3.849054,6.848001,197,204,210
2.940734,-3.875471,6.895000,196,203,209
2.951399,-3.875471,6.895000,198,205,211
2.962063,-3.875471,6.895000,196,203,209
2.972727,-3.875471,6.895000,197,204,210
2.973006,-3.861981,6.871000,194,201,207
2.973646,-3.849054,6.848001,196,203,207
5.166569,-3.929991,6.992000,181,185,197
5.159612,-3.916502,6.968000,183,188,197
5.188198,-3.929991,6.992000,183,188,197
5.236190,-3.958095,7.042000,182,189,197
5.265710,-3.972147,7.067000,182,189,197
5.295306,-3.986199,7.092000,180,186,197
5.306275,-3.986199,7.092000,177,183,194
5.298500,-3.972147,7.067000,180,186,199
5.309431,-3.972147,7.067000,181,187,200
5.301539,-3.958095,7.042000,182,188,201
5.293571,-3.944043,7.017000,183,189,202
-0.269566,-0.451780,0.806000,78,64,56
-0.268320,-0.451780,0.806000,72,58,50
1.820041,-3.710650,6.620000,191,194,195
1.830280,-3.710650,6.620000,184,187,188
1.840519,-3.710650,6.620000,185,188,189
1.850758,-3.710650,6.620000,185,188,189
1.860997,-3.710650,6.620000,187,190,191
1.871235,-3.710650,6.620000,190,193,194
1.881474,-3.710650,6.620000,197,200,201
1.891713,-3.710650,6.620000,209,212,213
1.901952,-3.710650,6.620000,198,201,202
1.905836,-3.698318,6.598001,178,184,186
1.903263,-3.673655,6.554000,177,183,185
1.913400,-3.673655,6.554000,186,192,194
1.910917,-3.649553,6.511000,203,209,211
1.908595,-3.626011,6.469000,208,216,217
1.918601,-3.626011,6.469000,208,216,217
1.928606,-3.626011,6.469000,209,217,218
1.957491,-3.661324,6.532001,204,212,213
1.994101,-3.710650,6.620000,206,212,214
2.031287,-3.760536,6.709000,206,212,214
2.069660,-3.812104,6.801000,203,209,211
2.108930,-3.864793,6.895000,203,209,211
2.149413,-3.919163,6.992000,204,207,210
2.191123,-3.975216,7.092000,205,208,211
2.242147,-4.047523,7.221000,206,209,212
2.286705,-4.107499,7.328001,206,209,212
2.298039,-4.107499,7.328001,206,209,212
2.317881,-4.122633,7.355000,206,209,212
2.337808,-4.137767,7.382000,207,210,213
2.349225,-4.137767,7.382000,208,211,214
2.369596,-4.153461,7.410000,208,211,214
2.790269,-4.382154,7.818000,205,210,215
2.791607,-4.365338,7.788001,205,210,215
2.803653,-4.365338,7.788001,204,209,214
2.793644,-4.331146,7.727000,204,209,214
2.794702,-4.314331,7.697001,204,209,214
2.795668,-4.297515,7.667000,204,209,214
2.796906,-4.281260,7.638000,204,209,216
2.798056,-4.265005,7.609000,204,209,216
2.799115,-4.248750,7.580000,203,208,215
2.800085,-4.232495,7.551001,205,210,217
2.790539,-4.200545,7.494000,205,210,217
2.802129,-4.200545,7.494000,206,211,218
2.792694,-4.169156,7.438000,207,212,219
2.804198,-4.169156,7.438000,204,209,216
2.805102,-4.153461,7.410000,204,209,216
2.805920,-4.137767,7.382000,205,210,217
2.807033,-4.122633,7.355000,204,209,216
2.818408,-4.122633,7.355000,205,210,217
2.829784,-4.122633,7.355000,206,211,218
2.830730,-4.107499,7.328001,203,208,215
2.842064,-4.107499,7.328001,204,206,214
2.853398,-4.107499,7.328001,205,207,215
2.854176,-4.092364,7.301000,208,210,218
2.854872,-4.077230,7.274000,206,208,216
2.804654,-3.989789,7.118001,204,206,214
2.702136,-3.799212,6.778000,205,207,215
2.685005,-3.760536,6.709000,202,207,214
2.659625,-3.710650,6.620000,203,208,215
2.652118,-3.685987,6.576000,203,208,215
2.653383,-3.673655,6.554000,203,208,215
2.654579,-3.661324,6.532001,205,211,222
2.647548,-3.637782,6.490000,209,215,226
2.657585,-3.637782,6.490000,203,209,220
2.667623,-3.637782,6.490000,166,172,183
2.677661,-3.637782,6.490000,160,166,177
2.696395,-3.649553,6.511000,171,177,188
2.724340,-3.673655,6.554000,208,209,222
2.752835,-3.698318,6.598001,209,210,223
2.790678,-3.735313,6.664001,202,207,216
2.819899,-3.760536,6.709000,199,204,213
2.849681,-3.786320,6.755000,201,208,216
2.879606,-3.812104,6.801000,199,206,214
2.919871,-3.851340,6.871000,197,204,210
2.940734,-3.864793,6.895000,197,204,210
2.961672,-3.878245,6.919000,201,208,214
2.972373,-3.878245,6.919000,189,196,202
2.983074,-3.878245,6.919000,197,204,208
2.973006,-3.851340,6.871000,190,197,201
2.983634,-3.851340,6.871000,197,202,207
2.973779,-3.824996,6.824000,196,201,206
2.974275,-3.812104,6.801000,188,193,198
4.351117,-4.470156,7.975000,191,193,201
5.196520,-4.382154,7.818000,183,192,204
5.208611,-4.382154,7.818000,182,191,203
5.293269,-4.092364,7.301000,183,187,199
5.266053,-4.062657,7.248000,183,187,199
5.238675,-4.032949,7.195000,183,187,199
5.138167,-3.947190,7.042000,183,187,199
5.094950,-3.905711,6.968000,183,187,199
5.052237,-3.864793,6.895000,183,187,199
5.045279,-3.851340,6.871000,181,185,197
5.038981,-3.838449,6.848001,181,185,197
5.031876,-3.824996,6.824000,184,188,200
5.008440,-3.799212,6.778000,182,186,198
5.018922,-3.799212,6.778000,183,187,199
5.046472,-3.812104,6.801000,182,186,198
5.074093,-3.824996,6.824000,183,187,199
5.102530,-3.838449,6.848001,183,187,199
5.130294,-3.851340,6.871000,183,189,200
5.158879,-3.864793,6.895000,183,189,200
5.169543,-3.864793,6.895000,182,188,201
5.162176,-3.851340,6.871000,182,188,201
5.172802,-3.851340,6.871000,181,187,200
5.183430,-3.851340,6.871000,178,184,197
5.176670,-3.838449,6.848001,177,183,196
5.187262,-3.838449,6.848001,173,179,192
5.179636,-3.824996,6.824000,168,174,187
5.208445,-3.838449,6.848001,168,174,187
5.236565,-3.851340,6.871000,169,173,187
5.302940,-3.892258,6.944000,171,175,189
5.350410,-3.919163,6.992000,171,175,189
5.418732,-3.961203,7.067000,172,176,190
5.528006,-4.032949,7.195000,171,177,190
5.599953,-4.077230,7.274000,174,180,193
5.673687,-4.122633,7.355000,182,187,205
5.760722,-4.169156,7.438000,137,145,160
5.837414,-4.216239,7.522000,148,156,171
5.916698,-4.265005,7.609000,176,185,197
5.997031,-4.314331,7.697001,174,183,195
6.055777,-4.347962,7.757000,175,186,197
6.115490,-4.382154,7.818000,172,183,194
6.176177,-4.416906,7.880001,170,181,192
6.237840,-4.452219,7.943000,173,184,195
6.275304,-4.470156,7.975000,176,185,197
-0.272493,-0.453327,0.811000,79,63,56
-0.270904,-0.452768,0.810000,79,63,56
-0.268986,-0.451650,0.808000,72,56,49
-0.267073,-0.450532,0.806000,72,56,49
-0.265497,-0.449973,0.805000,69,55,51
-0.263923,-0.449414,0.804000,69,55,51
-0.262353,-0.448855,0.803000,66,51,50
-0.260786,-0.448296,0.802000,68,53,52
-0.040725,-0.375070,0.671000,48,51,50
-0.036464,-0.373953,0.669000,44,47,46
1.248755,-3.737289,6.686000,200,200,200
1.272090,-3.775858,6.755000,200,200,200
1.291271,-3.801571,6.801000,202,202,202
1.325816,-3.840699,6.871000,202,202,202
1.345779,-3.867530,6.919000,201,201,201
1.375694,-3.922309,7.017000,200,200,200
1.396426,-3.950258,7.067000,199,199,199
1.417513,-3.978765,7.118001,199,199,199
1.438757,-4.007273,7.169000,199,199,199
1.449845,-4.007273,7.169000,201,201,201
1.460933,-4.007273,7.169000,202,202,202
1.472021,-4.007273,7.169000,201,201,201
1.483109,-4.007273,7.169000,200,200,200
1.488778,-3.992740,7.143000,203,203,203
1.489117,-3.964232,7.092000,206,206,206
1.494798,-3.950258,7.067000,204,204,204
1.484635,-3.894920,6.968000,201,201,201
1.490261,-3.881504,6.944000,206,206,206
1.495597,-3.867530,6.919000,206,206,206
1.506298,-3.867530,6.919000,206,206,206
1.517000,-3.867530,6.919000,206,206,206
1.527701,-3.867530,6.919000,206,206,206
1.538402,-3.867530,6.919000,204,204,204
1.560074,-3.894920,6.968000,203,203,203
1.576262,-3.908335,6.992000,202,202,202
1.592751,-3.922309,7.017000,206,206,206
1.615030,-3.950258,7.067000,204,204,204
1.631712,-3.964232,7.092000,207,207,209
1.648703,-3.978765,7.118001,208,208,210
1.665541,-3.992740,7.143000,208,208,208
1.676589,-3.992740,7.143000,204,204,204
