x_m,y_m,z_m,r,g,b
1.376941,-3.776886,6.755000,187,189,197
1.377944,-3.751166,6.709000,188,190,198
1.374458,-3.713705,6.642000,188,190,198
1.375561,-3.689104,6.598001,188,190,198
1.376527,-3.664502,6.554000,190,192,200
1.382012,-3.652201,6.532001,188,190,198
1.387642,-3.640460,6.511000,190,192,200
1.397715,-3.640460,6.511000,190,192,200
2.095125,-3.828885,6.848001,194,193,202
2.098340,-3.815466,6.824000,192,194,202
2.108897,-3.815466,6.824000,194,196,204
2.112310,-3.802606,6.801000,193,195,205
2.115653,-3.789746,6.778000,192,194,204
2.118924,-3.776886,6.755000,193,195,205
2.122124,-3.764026,6.732000,194,196,206
2.132540,-3.764026,6.732000,195,197,207
2.135633,-3.751166,6.709000,195,197,207
2.138655,-3.738306,6.686000,195,196,209
2.134856,-3.713705,6.642000,195,196,209
2.138027,-3.701404,6.620000,192,196,208
2.133990,-3.676803,6.576000,191,195,207
2.129817,-3.652201,6.532001,194,200,211
2.714155,-4.143113,7.410000,191,196,212
2.656099,-4.037438,7.221000,190,195,211
2.601152,-3.937355,7.042000,190,195,211
2.575696,-3.882560,6.944000,190,195,211
2.541743,-3.815466,6.824000,189,197,212
2.526492,-3.776886,6.755000,188,196,211
2.511029,-3.738306,6.686000,188,196,211
2.496483,-3.701404,6.620000,188,196,211
2.490064,-3.676803,6.576000,188,196,211
2.500237,-3.676803,6.576000,189,197,212
2.493614,-3.652201,6.532001,188,196,211
2.487621,-3.628718,6.490000,187,195,210
2.481498,-3.605235,6.448000,187,195,210
2.475244,-3.581751,6.406000,187,195,210
2.477008,-3.570010,6.385000,190,198,213
2.496764,-3.570010,6.385000,192,200,215
2.514887,-3.581751,6.406000,188,196,211
2.524797,-3.581751,6.406000,190,195,211
2.569643,-3.616976,6.469000,190,195,211
2.604774,-3.652201,6.532001,190,195,211
2.641300,-3.689104,6.598001,190,195,211
2.669190,-3.713705,6.642000,191,196,212
2.697216,-3.738306,6.686000,188,193,209
2.735502,-3.776886,6.755000,189,194,210
2.764652,-3.802606,6.801000,185,193,208
2.803737,-3.841744,6.871000,190,198,213
2.854098,-3.895980,6.968000,194,199,215
2.885024,-3.923377,7.017000,177,182,198
2.906198,-3.937355,7.042000,154,159,177
2.927448,-3.951333,7.067000,150,155,173
2.948776,-3.965311,7.092000,162,165,184
2.970599,-3.979848,7.118001,193,196,215
2.981611,-3.979848,7.118001,193,196,213
2.992623,-3.979848,7.118001,189,192,209
3.014184,-3.993826,7.143000,185,188,205
3.025235,-3.993826,7.143000,190,193,210
3.025659,-3.979848,7.118001,189,195,208
3.036671,-3.979848,7.118001,188,194,207
3.047683,-3.979848,7.118001,178,184,197
3.069438,-3.993826,7.143000,171,177,190
3.080488,-3.993826,7.143000,171,177,190
3.080719,-3.979848,7.118001,166,172,185
3.091731,-3.979848,7.118001,166,172,185
3.102743,-3.979848,7.118001,166,172,185
3.102382,-3.965311,7.092000,171,177,190
2.493706,-2.976779,5.324000,180,186,199
2.488784,-2.961123,5.296000,180,186,199
2.483776,-2.945468,5.268000,180,186,199
2.478681,-2.929812,5.240000,180,186,199
2.460686,-2.899061,5.185000,180,186,199
2.462518,-2.891792,5.172000,178,184,197
2.463832,-2.883964,5.158000,178,184,197
3.746068,-4.008363,7.169000,175,180,196
3.757159,-4.008363,7.169000,175,180,196
3.754583,-3.993826,7.143000,175,180,196
3.752455,-3.979848,7.118001,176,181,197
3.749720,-3.965311,7.092000,175,180,196
3.760691,-3.965311,7.092000,182,185,204
3.771663,-3.965311,7.092000,156,159,178
3.782635,-3.965311,7.092000,148,151,168
3.793607,-3.965311,7.092000,153,156,173
3.791167,-3.951333,7.067000,180,185,201
3.802100,-3.951333,7.067000,183,188,204
3.813034,-3.951333,7.067000,177,183,196
3.823967,-3.951333,7.067000,177,183,196
3.834900,-3.951333,7.067000,176,182,195
3.845833,-3.951333,7.067000,173,179,192
3.856766,-3.951333,7.067000,175,180,196
3.867699,-3.951333,7.067000,176,181,197
3.878633,-3.951333,7.067000,175,180,196
3.889566,-3.951333,7.067000,174,179,195
3.914297,-3.965311,7.092000,174,179,195
3.939660,-3.979848,7.118001,174,179,195
3.964547,-3.993826,7.143000,174,179,197
4.019011,-4.037438,7.221000,174,179,197
4.089900,-4.097264,7.328001,174,179,195
4.147130,-4.143113,7.410000,173,178,194
4.205736,-4.190079,7.494000,176,181,197
4.233087,-4.205734,7.522000,177,182,198
4.277454,-4.238163,7.580000,178,183,199
4.322001,-4.270593,7.638000,178,183,199
4.384316,-4.320355,7.727000,172,180,195
4.448044,-4.371235,7.818000,173,181,196
4.477825,-4.388568,7.849000,173,181,196
4.507701,-4.405901,7.880001,173,181,196
4.538247,-4.423793,7.912000,174,182,197
4.532083,-4.405901,7.880001,174,182,197
4.562727,-4.423793,7.912000,173,181,196
4.592893,-4.441126,7.943000,171,179,194
4.623734,-4.459018,7.975000,174,182,197
4.636073,-4.459018,7.975000,173,181,196
5.019176,-4.270593,7.638000,174,182,199
5.050094,-4.286808,7.667000,169,177,194
5.042809,-4.270593,7.638000,172,180,197
5.073817,-4.286808,7.667000,172,180,197
5.085678,-4.286808,7.667000,171,179,196
5.097539,-4.286808,7.667000,173,181,198
5.129394,-4.303581,7.697001,171,179,196
5.161340,-4.320355,7.727000,169,177,194
5.214135,-4.354462,7.788001,171,179,196
5.246315,-4.371235,7.818000,172,180,197
5.279261,-4.388568,7.849000,171,179,196
6.202985,-4.459018,7.975000,170,179,202
6.190384,-4.441126,7.943000,165,174,197
6.178464,-4.423793,7.912000,162,173,196
6.190705,-4.423793,7.912000,161,172,195
6.202945,-4.423793,7.912000,162,173,194
6.215186,-4.423793,7.912000,162,173,194
6.227426,-4.423793,7.912000,164,176,194
6.239666,-4.423793,7.912000,166,178,196
6.276402,-4.441126,7.943000,167,177,195
6.314026,-4.459018,7.975000,167,177,195
-0.779276,-0.495127,0.888000,104,89,90
-0.777902,-0.495127,0.888000,98,83,84
-0.777403,-0.495685,0.889000,95,80,81
-0.776027,-0.495685,0.889000,94,79,80
-0.774652,-0.495685,0.889000,94,79,80
-1.104200,-0.747709,1.341000,96,86,86
-1.103769,-0.748824,1.343000,96,86,86
-0.387915,-0.307782,0.552000,42,54,70
-0.387762,-0.308339,0.553000,42,54,70
-0.386906,-0.308339,0.553000,42,54,70
-0.386749,-0.308897,0.554000,41,53,69
-0.386588,-0.309454,0.555000,44,56,72
-0.147849,-0.281576,0.505000,50,45,43
-0.147067,-0.281576,0.505000,49,44,42
-0.145996,-0.281018,0.504000,48,45,42
-0.005893,-0.293285,0.526000,56,52,55
-0.005079,-0.293285,0.526000,55,51,54
-0.004265,-0.293285,0.526000,55,49,53
-0.003451,-0.293285,0.526000,56,50,54
-0.002638,-0.293285,0.526000,58,49,54
-0.001824,-0.293285,0.526000,63,54,59
-0.001010,-0.293285,0.526000,64,53,59
-0.000196,-0.293285,0.526000,65,54,60
0.002241,-0.292727,0.525000,69,58,64
0.003053,-0.292727,0.525000,69,58,64
0.003865,-0.292727,0.525000,71,60,66
0.054824,-0.413721,0.742000,187,188,201
0.055972,-0.413721,0.742000,188,190,200
0.056965,-0.412606,0.740000,188,190,200
0.058110,-0.412606,0.740000,186,188,198
0.059175,-0.412048,0.739000,185,187,197
0.060237,-0.411491,0.738000,186,185,196
0.061295,-0.410933,0.737000,185,184,195
0.062436,-0.410933,0.737000,178,177,188
0.063576,-0.410933,0.737000,169,168,179
0.064716,-0.410933,0.737000,167,166,175
1.349531,-3.898567,6.992000,188,187,196
1.360348,-3.898567,6.992000,189,188,197
1.371166,-3.898567,6.992000,189,188,197
1.372495,-3.871804,6.944000,190,189,198
1.378258,-3.857864,6.919000,190,189,198
1.384145,-3.844483,6.895000,189,188,197
1.385304,-3.818277,6.848001,189,188,197
1.381629,-3.779246,6.778000,190,189,198
1.392118,-3.642083,6.532001,192,191,200
1.397715,-3.630373,6.511000,192,191,200
1.407788,-3.630373,6.511000,190,189,198
2.066672,-3.766422,6.755000,194,193,204
2.077122,-3.766422,6.755000,194,193,204
2.087573,-3.766422,6.755000,196,195,206
2.098023,-3.766422,6.755000,195,197,207
2.108474,-3.766422,6.755000,194,196,206
2.111709,-3.753598,6.732000,198,200,210
2.114874,-3.740773,6.709000,195,197,207
2.117968,-3.727949,6.686000,195,197,207
2.128311,-3.727949,6.686000,195,197,207
2.124581,-3.703416,6.642000,194,196,206
2.127785,-3.691149,6.620000,195,197,207
2.123816,-3.666616,6.576000,193,197,209
2.126851,-3.654349,6.554000,193,197,209
2.122970,-3.630373,6.511000,194,200,211
2.112403,-3.595247,6.448000,192,198,209
2.101642,-3.560119,6.385000,192,198,209
2.078120,-3.503804,6.284000,192,198,209
2.661446,-4.085913,7.328001,190,195,211
2.633756,-4.026252,7.221000,191,196,212
2.597677,-3.954325,7.092000,192,197,213
2.563038,-3.885186,6.968000,192,197,213
2.529493,-3.818277,6.848001,191,196,212
2.514123,-3.779246,6.778000,191,196,212
2.498908,-3.740773,6.709000,192,197,213
2.484228,-3.703416,6.642000,192,197,213
2.469717,-3.666616,6.576000,189,197,212
2.463298,-3.642083,6.532001,188,196,211
2.465451,-3.630373,6.511000,188,196,211
2.467540,-3.618665,6.490000,188,196,211
2.469563,-3.606956,6.469000,190,198,213
2.463473,-3.583537,6.427001,188,196,211
2.449555,-3.548968,6.365000,188,196,211
2.451674,-3.537816,6.345000,188,196,211
2.461490,-3.537816,6.345000,190,198,213
2.471307,-3.537816,6.345000,187,195,210
2.481123,-3.537816,6.345000,192,200,215
2.490939,-3.537816,6.345000,190,198,213
2.516521,-3.560119,6.385000,191,196,212
2.543017,-3.583537,6.427001,190,195,211
2.588026,-3.618665,6.490000,190,195,211
2.623687,-3.654349,6.554000,190,195,211
2.660349,-3.691149,6.620000,187,192,208
2.688341,-3.715683,6.664001,185,190,206
2.726188,-3.753598,6.732000,185,190,206
2.755302,-3.779246,6.778000,187,192,208
2.794352,-3.818277,6.848001,185,190,206
2.834028,-3.857864,6.919000,190,195,213
2.864878,-3.885186,6.968000,192,197,215
2.895880,-3.912507,7.017000,188,193,211
2.917092,-3.926446,7.042000,150,155,173
2.948776,-3.954325,7.092000,148,153,171
2.959748,-3.954325,7.092000,166,171,189
2.981611,-3.968822,7.118001,187,192,210
2.992623,-3.968822,7.118001,181,186,204
3.003635,-3.968822,7.118001,175,180,196
3.014647,-3.968822,7.118001,173,178,194
3.025659,-3.968822,7.118001,170,176,189
3.036671,-3.968822,7.118001,170,176,189
3.058387,-3.982761,7.143000,176,182,195
3.069438,-3.982761,7.143000,174,180,193
